ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10702,ASTR,1270,001,Lecture,"3","Staff","MoTuWeThFr 1:00PM - 3:15PM","Astronomy Bldg 265","Unsolved Mysteries in the Universe","",Open,0,24,0,"An exploration of  the unsolved mysteries in the universe and the limits of our knowledge for non-science majors.  The class emphasizes the nature of scientific endeavor, and explores the boundaries between science, philosophy, and metaphysics.  A number of thought provoking topics are discussed including the beginning and end of the universe, black holes, extraterrestrial life, the nature of time, dark matter and dark energy."
10605,ASTR,4998,001,Independent Study,"3","Craig Sarazin","TBA","TBA","Senior Thesis","",Open,0,30,0,"May be repeated once for credit.  Prerequisite: Instructor permission."
10606,ASTR,4998,002,Independent Study,"3","Paul Seidelmann","TBA","TBA","Senior Thesis","",Open,0,30,0,"May be repeated once for credit.  Prerequisite: Instructor permission."
10423,ASTR,9995,001,Independent Study,"1 - 12","Richard Bradley","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10424,ASTR,9995,002,Independent Study,"1 - 12","Kelsey Johnson","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10425,ASTR,9995,003,Independent Study,"1 - 12","Steven Majewski","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10426,ASTR,9995,004,Independent Study,"1 - 12","Brian Mason","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10427,ASTR,9995,005,Independent Study,"1 - 12","Scott Ransom","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10428,ASTR,9995,006,Independent Study,"1 - 12","Craig Sarazin","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10429,ASTR,9995,007,Independent Study,"1 - 12","Michael Skrutskie","TBA","TBA","Supervised Research","",Open,0,30,0,"Under supervision, the student undertakes or assists with a current research problem. This course may be repeated for credit."
10630,ASTR,9999,001,Independent Study,"1 - 12","Robert Johnson","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10430,ASTR,9999,002,Independent Study,"1 - 12","Phil Arras","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10431,ASTR,9999,003,Independent Study,"1 - 12","James Braatz","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10432,ASTR,9999,004,Independent Study,"1 - 12","Richard Bradley","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10433,ASTR,9999,005,Independent Study,"1 - 12","Remy Indebetouw","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10434,ASTR,9999,006,Independent Study,"1 - 12","Kelsey Johnson","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10435,ASTR,9999,007,Independent Study,"1 - 12","Steven Majewski","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10436,ASTR,9999,008,Independent Study,"1 - 12","Scott Ransom","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10437,ASTR,9999,009,Independent Study,"1 - 12","Craig Sarazin","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10438,ASTR,9999,010,Independent Study,"1 - 12","Michael Skrutskie","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10439,ASTR,9999,011,Independent Study,"1 - 12","Roger Chevalier","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10440,ASTR,9999,012,Independent Study,"1 - 12","John Hawley","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10441,ASTR,9999,013,Independent Study,"1 - 12","Zhi-Yun Li","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10442,ASTR,9999,014,Independent Study,"1 - 12","Brian Mason","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10460,ASTR,9999,015,Independent Study,"1 - 12","Robert O'Connell","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10461,ASTR,9999,016,Independent Study,"1 - 12","Aaron Evans","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10484,ASTR,9999,017,Independent Study,"1 - 12","Timothy Bastian","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10499,ASTR,9999,018,Independent Study,"1 - 12","Anthony Remijan","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10500,ASTR,9999,019,Independent Study,"1 - 12","William Saslaw","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10502,ASTR,9999,020,Independent Study,"1 - 12","Kartik Sheth","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10524,ASTR,9999,021,Independent Study,"1 - 12","Mark Lacy","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10566,ASTR,9999,022,Independent Study,"1 - 12","Adam Leroy","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10594,ASTR,9999,023,Independent Study,"1 - 12","Dana Balser","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10679,ASTR,9999,024,Independent Study,"1 - 12","Crystal Brogan","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10685,ASTR,9999,025,Independent Study,"1 - 12","Nitya Kallivayalil","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10741,ASTR,9999,026,Independent Study,"1 - 12","James Condon","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10794,ASTR,9999,027,Independent Study,"1 - 12","Mark Whittle","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10797,ASTR,9999,028,Independent Study,"1 - 12","Jennifer Meyer","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10884,ASTR,9999,029,Independent Study,"1 - 12","Shane Davis","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10886,ASTR,9999,030,Independent Study,"1 - 12","Jonathan Tan","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
12271,BIMS,8195,001,Independent Study,"3","Gordon Laurie","TBA","TBA","Biotech Industrial Externship","",Open,0,30,0,"A two to three month training experience at a biotechnology or pharmaceutical company. BTP or non-BTP students contribute to host company research projects, offer ideas and interact with company officials. Student performance is graded by the hosting company official using a standardized form (http://www.surveygizmo.com/s3/1742633/UVa-Biotech-Externship-Evaluation). Externship occurs within 2 years of entering the BTP."
12265,BIMS,8993,001,Independent Study,"1 - 12","Aakrosh Ratan","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0,"This course is for visiting research students participating in the BIMS Visiting Research Graduate Trianeeship Program (VRGTP). Students in this course are dual enrolled in their home institution and will participate in research for a minimum of 4 semesters. The research will assist them in completing their degree at their home institution. Non-degree students."
12277,BIMS,8993,002,Independent Study,"1 - 12","Alban Gaultier","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0,"This course is for visiting research students participating in the BIMS Visiting Research Graduate Trianeeship Program (VRGTP). Students in this course are dual enrolled in their home institution and will participate in research for a minimum of 4 semesters. The research will assist them in completing their degree at their home institution. Non-degree students."
12278,BIMS,8993,003,Independent Study,"1 - 12","Anindya Dutta","TBA","TBA","Non-topical Research: Visiting Research Graduate Traineeship Program","",Open,0,30,0,"This course is for visiting research students participating in the BIMS Visiting Research Graduate Trianeeship Program (VRGTP). Students in this course are dual enrolled in their home institution and will participate in research for a minimum of 4 semesters. The research will assist them in completing their degree at their home institution. Non-degree students."
